name,num_downloads,owners_and_repo
electron-to-chromium,36711153,Kilian/electron-to-chromium
fs.realpath,36684159,isaacs/fs.realpath
wrappy,36386389,npm/wrappy
ajv-keywords,36319015,epoberezkin/ajv-keywords
is-core-module,36306993,meandavejustice/is-core-module
human-signals,36301561,ehmicky/human-signals
object-inspect,36162938,inspect-js/object-inspect
entities,35906861,fb55/entities
@babel/helper-split-export-declaration,35703871,babel/babel
node-fetch,35580684,bitinn/node-fetch
inflight,35362677,npm/inflight
acorn-walk,35264727,acornjs/acorn
array-union,35257567,sindresorhus/array-union
convert-source-map,35250230,thlorenz/convert-source-map
@nodelib/fs.stat,35234229,nodelib/nodelib
chownr,35217497,isaacs/chownr
pump,35189807,mafintosh/pump
esprima,35077852,jquery/esprima
axios,35061717,axios/axios
js-tokens,34988809,lydell/js-tokens
read-pkg,34885667,sindresorhus/read-pkg
node-releases,34856878,chicoxyzzy/node-releases
domutils,34836865,fb55/domutils
serialize-javascript,34835233,yahoo/serialize-javascript
eslint-utils,34825844,mysticatea/eslint-utils
signal-exit,34796051,tapjs/signal-exit
domelementtype,34785368,fb55/domelementtype
path-is-absolute,34641207,sindresorhus/path-is-absolute
array-flatten,34622110,blakeembrey/array-flatten
callsites,34406467,sindresorhus/callsites
postcss-selector-parser,34344132,postcss/postcss-selector-parser
ini,34331795,npm/ini
https-proxy-agent,34297991,TooTallNate/node-https-proxy-agent
@babel/helper-module-transforms,34270261,babel/babel
ansi-escapes,34263543,sindresorhus/ansi-escapes
es-abstract,34247208,ljharb/es-abstract
slice-ansi,33961799,chalk/slice-ansi
@babel/helpers,33958577,babel/babel
@babel/helper-simple-access,33568027,babel/babel
terser,33355345,terser/terser
@babel/helper-module-imports,33351493,babel/babel
typescript,33257402,microsoft/TypeScript
safer-buffer,33064573,ChALkeR/safer-buffer
uri-js,33053115,garycourt/uri-js
agent-base,32971216,TooTallNate/node-agent-base
terser-webpack-plugin,32908960,webpack-contrib/terser-webpack-plugin
jest-diff,32857367,facebook/jest
buffer-from,32844809,LinusU/buffer-from
jest-regex-util,32805719,facebook/jest
fast-json-stable-stringify,32788348,epoberezkin/fast-json-stable-stringify
follow-redirects,32751197,follow-redirects/follow-redirects
is-plain-obj,32722527,sindresorhus/is-plain-obj
is-plain-object,32596171,jonschlinkert/is-plain-object
find-cache-dir,32591627,avajs/find-cache-dir
isexe,32574490,isaacs/isexe
get-caller-file,32562633,stefanpenner/get-caller-file
sprintf-js,32485432,alexei/sprintf.js
parse5,32482429,inikulin/parse5
jest-message-util,32433447,facebook/jest
@babel/compat-data,32417300,babel/babel
has,32232544,tarruda/has
function-bind,32083500,Raynos/function-bind
on-finished,32081069,jshttp/on-finished
read-pkg-up,31942535,sindresorhus/read-pkg-up
util-deprecate,31934387,TooTallNate/util-deprecate
@babel/helper-compilation-targets,31799856,babel/babel
indent-string,31561230,sindresorhus/indent-string
is-callable,31479223,inspect-js/is-callable
diff-sequences,31477459,facebook/jest
object-assign,31327578,sindresorhus/object-assign
cacache,31174421,npm/cacache
ieee754,31093437,feross/ieee754
@babel/helper-hoist-variables,30928806,babel/babel
define-properties,30834392,ljharb/define-properties
asynckit,30823557,alexindigo/asynckit
toidentifier,30790842,component/toidentifier
path-parse,30767125,jbgutierrez/path-parse
util,30565772,browserify/node-util
has-values,30551716,jonschlinkert/has-values
@typescript-eslint/typescript-estree,30546398,typescript-eslint/typescript-eslint
has-value,30523494,jonschlinkert/has-value
normalize-package-data,30387673,npm/normalize-package-data
dom-serializer,30286173,cheeriojs/dom-serializer
ssri,30269989,npm/ssri
delayed-stream,30244241,felixge/node-delayed-stream
raw-body,30127760,stream-utils/raw-body
jest-matcher-utils,29969886,facebook/jest
